espn-id,conference
2619,America East
261,America East
104,America East
42,America East
399,America East
311,America East
160,America East
2378,America East
2066,America East
139,Atlantic 10
2670,Atlantic 10
2086,Atlantic 10
2325,Atlantic 10
218,Atlantic 10
113,Atlantic 10
2752,Atlantic 10
2429,Atlantic 10
2603,Atlantic 10
257,Atlantic 10
2168,Atlantic 10
179,Atlantic 10
45,Atlantic 10
227,Atlantic 10
2230,Atlantic 10
2184,Atlantic 10
2390,ACC
150,ACC
153,ACC
152,ACC
258,ACC
52,ACC
120,ACC
103,ACC
59,ACC
154,ACC
228,ACC
259,ACC
2382,Atlantic Sun
526,Atlantic Sun
56,Atlantic Sun
2908,Atlantic Sun
294,Atlantic Sun
94,Atlantic Sun
2454,Atlantic Sun
2193,Atlantic Sun
288,Atlantic Sun
338,Atlantic Sun
2305,Big 12
2306,Big 12
197,Big 12
66,Big 12
201,Big 12
239,Big 12
251,Big 12
277,Big 12
2641,Big 12
2628,Big 12
97,Big East
46,Big East
269,Big East
221,Big East
183,Big East
87,Big East
41,Big East
222,Big East
2132,Big East
2507,Big East
2599,Big East
164,Big East
2550,Big East
58,Big East
305,Big East
149,Big Sky
2692,Big Sky
155,Big Sky
147,Big Sky
2458,Big Sky
16,Big Sky
253,Big Sky
2464,Big Sky
331,Big Sky
2502,Big Sky
304,Big Sky
2272,Big South
2678,Big South
2515,Big South
2097,Big South
2335,Big South
2344,Big South
2127,Big South
2241,Big South
2427,Big South
324,Big South
2737,Big South
2506,Big South
84,Big Ten
194,Big Ten
127,Big Ten
130,Big Ten
275,Big Ten
2294,Big Ten
356,Big Ten
135,Big Ten
2509,Big Ten
158,Big Ten
77,Big Ten
213,Big Ten
299,Big West
279,Big West
13,Big West
300,Big West
62,Big West
302,Big West
2540,Big West
2239,Big West
2463,Big West
27,Big West
111,Colonial Athletic Association
119,Colonial Athletic Association
48,Colonial Athletic Association
256,Colonial Athletic Association
2244,Colonial Athletic Association
2247,Colonial Athletic Association
2182,Colonial Athletic Association
2729,Colonial Athletic Association
350,Colonial Athletic Association
2275,Colonial Athletic Association
295,Colonial Athletic Association
235,Conference USA
2572,Conference USA
2638,Conference USA
151,Conference USA
2116,Conference USA
202,Conference USA
248,Conference USA
5,Conference USA
2655,Conference USA
276,Conference USA
2567,Conference USA
242,Conference USA
2934,Division I Independents
2443,Division I Independents
2885,Great West
292,Great West
2277,Great West
3084,Great West
2130,Great West
2674,Horizon League
2174,Horizon League
2750,Horizon League
2739,Horizon League
82,Horizon League
2754,Horizon League
2350,Horizon League
325,Horizon League
270,Horizon League
108,Ivy League
163,Ivy League
43,Ivy League
225,Ivy League
219,Ivy League
172,Ivy League
159,Ivy League
171,Ivy League
315,MAAC
2352,MAAC
2520,MAAC
2099,MAAC
314,MAAC
2217,MAAC
2363,MAAC
2368,MAAC
2561,MAAC
2612,MAAC
2006,Mid-American
195,Mid-American
2309,Mid-American
2084,Mid-American
189,Mid-American
193,Mid-American
2711,Mid-American
2649,Mid-American
2050,Mid-American
2199,Mid-American
2117,Mid-American
2459,Mid-American
2450,MEAC
2428,MEAC
2542,MEAC
2261,MEAC
2415,MEAC
2448,MEAC
2169,MEAC
2065,MEAC
50,MEAC
2154,MEAC
47,MEAC
2569,MEAC
2379,MEAC
156,Missouri Valley
2724,Missouri Valley
2460,Missouri Valley
339,Missouri Valley
282,Missouri Valley
2287,Missouri Valley
71,Missouri Valley
2181,Missouri Valley
2623,Missouri Valley
79,Missouri Valley
167,Mountain West
36,Mountain West
2439,Mountain West
21,Mountain West
68,Mountain West
2005,Mountain West
278,Mountain West
2751,Mountain West
2440,Mountain West
2523,Northeast
2681,Northeast
2803,Northeast
2341,Northeast
116,Northeast
2514,Northeast
2115,Northeast
2597,Northeast
2529,Northeast
2405,Northeast
2598,Northeast
161,Northeast
93,Ohio Valley
2546,Ohio Valley
2197,Ohio Valley
2565,Ohio Valley
2630,Ohio Valley
2046,Ohio Valley
2057,Ohio Valley
2198,Ohio Valley
2634,Ohio Valley
55,Ohio Valley
2413,Ohio Valley
2635,Ohio Valley
26,Pac-12
12,Pac-12
2483,Pac-12
25,Pac-12
38,Pac-12
9,Pac-12
24,Pac-12
264,Pac-12
30,Pac-12
254,Pac-12
204,Pac-12
265,Pac-12
2083,Patriot League
2329,Patriot League
322,Patriot League
349,Patriot League
2142,Patriot League
44,Patriot League
107,Patriot League
2426,Patriot League
57,SEC
145,SEC
333,SEC
96,SEC
142,SEC
2633,SEC
8,SEC
99,SEC
61,SEC
238,SEC
245,SEC
2579,SEC
344,SEC
2,SEC
2210,Southern
2026,Southern
2717,Southern
2535,Southern
236,Southern
2430,Southern
2166,Southern
232,Southern
290,Southern
2747,Southern
2643,Southern
231,Southern
2617,Southland
2466,Southland
198,Southland
2545,Southland
2534,Southland
2447,Southland
2377,Southland
2110,Southland
357,Southland
2320,Southland
2640,SWAC
2582,SWAC
2029,SWAC
2296,SWAC
2504,SWAC
2011,SWAC
2016,SWAC
2010,SWAC
2400,SWAC
2755,SWAC
2571,Summit League
2710,Summit League
2449,Summit League
2473,Summit League
2870,Summit League
2437,Summit League
233,Summit League
140,Summit League
85,Summit League
2393,Sun Belt
6,Sun Belt
2229,Sun Belt
98,Sun Belt
2226,Sun Belt
2653,Sun Belt
2032,Sun Belt
2031,Sun Belt
309,Sun Belt
249,Sun Belt
2433,Sun Belt
2250,West Coast
2608,West Coast
252,West Coast
2541,West Coast
2539,West Coast
301,West Coast
2492,West Coast
2501,West Coast
2351,West Coast
2348,WAC
2172,WAC
166,WAC
328,WAC
250,WAC
70,WAC
326,WAC
2636,WAC
23,WAC
2547,WAC
